ID,propertyId,title,description,type,listingFor,purpose,state,isVacant,availableFrom,noOfRooms,propertySize,propertySizeUnit,coldRent,warmRent,currency_code,hasBalcony,hasdGarten,noOfParkingSpace,hasGarageParking,floorNo,totalFloors,yearOfConstruction,hasPassengerLift,arePetsAllowed,heatingType,energyEffieicenyClass,minmumInternetSpeed,contactPerson_ID,address_ID,listingStatus_code
9c842a2d-7d08-433b-a4c6-86394d3cb017,P0001,Modern Downtown Apartment,Spacious 3-bedroom apartment in the heart of downtown with stunning city views,Apartment,Rent,Living,Very Good,true,2024-01-15,3,120.50,sqm,1500.00,1800.00,EUR,true,false,1,false,5,10,2018,true,true,Central Heating,B,100 Mbps,79a042b1-7ffa-48e1-96d8-c522a84e3a03,bacf3489-dbe3-4aa9-96a0-7e313d117e5f,ACCEPTREQ
0cefcf4c-ab3f-46e9-ba36-2f93df18e50b,P0002,Luxury Family Villa,Beautiful 5-bedroom villa with private pool and garden perfect for families,House,Sale,Living,New,true,2024-02-01,5,250.00,sqm,0.00,0.00,EUR,true,true,3,true,0,2,2023,false,true,Floor Heating,A,200 Mbps,79a042b1-7ffa-48e1-96d8-c522a84e3a03,4c8e4855-20ec-4ccb-9788-60f7ace45999,NEWLISTING
b73601cd-1df1-431a-8976-a7d410e7767c,P0003,Cozy Studio Near University,Perfect for students or young professionals comfortable studio apartment,Apartment,Rent,Living,Renovated,true,2024-01-20,1,45.00,sqm,800.00,950.00,EUR,true,false,0,false,2,5,2015,true,false,Electric Heating,C,50 Mbps,7fdda6bd-b9b3-44d7-b12c-35a49ec57e7a,72fa1b8f-a7f9-461f-93ab-b28c9f3db11f,ACCEPTREQ
141d44fb-596d-447d-accc-8a674df4f6eb,P0004,Commercial Office Space,Modern office space in business district ideal for startups and small businesses,Apartment,Lease,Commercial,Very Good,true,2024-02-15,8,180.00,sqm,2500.00,2800.00,EUR,false,false,5,true,3,8,2019,true,false,Central Heating,A,500 Mbps,d3c31fcf-ecea-4fea-9f67-708d9aa9c96b,59dbba0f-61c4-46e2-859a-cc139efa22b5,REVIEWREQ
e3e9963c-034d-4096-a486-50784175ebe5,P0005,Suburban Family Home,Spacious 4-bedroom house in quiet neighborhood with excellent schools nearby,House,Sale,Living,Very Good,true,2024-03-01,4,180.00,sqm,0.00,0.00,EUR,false,true,2,true,0,2,2016,false,true,Gas Heating,B,100 Mbps,a5b41e06-370d-4854-894a-531825e4462a,e31f2541-fe54-4daa-9fd8-fa07031a0444,ACCEPTREQ
dbda527d-724f-41b2-8f82-b8f42ef5fc6f,P0006,Penthouse with Terrace,Exclusive penthouse apartment with large terrace and panoramic views,Apartment,Rent,Living,New,true,2024-02-10,4,200.00,sqm,3000.00,3500.00,EUR,true,false,2,true,15,15,2022,true,false,Floor Heating,A,500 Mbps,2a04e58a-f083-4f65-a494-d152e2287fcf,dc4a4b2a-29b5-451d-a937-e316f61b794a,VIEWPLANN
9780fa37-3c72-48cd-9362-1707f674c0f4,P0007,Affordable 2BR Apartment,Budget-friendly apartment perfect for young couples or small families,Apartment,Rent,Living,Renovated,true,2024-01-25,2,75.00,sqm,1100.00,1300.00,EUR,true,false,1,false,3,6,2012,true,true,Central Heating,C,50 Mbps,7fdda6bd-b9b3-44d7-b12c-35a49ec57e7a,4010d748-5899-400f-a69e-99b963c4eb30,ACCEPTREQ
a0c3b464-a5ba-471d-b009-073eba69aba2,P0008,Industrial Warehouse Space,Large warehouse with loading docks perfect for logistics or storage,House,Lease,Commercial,Very Good,true,2024-03-15,0,500.00,sqm,4000.00,4500.00,EUR,false,false,10,false,0,1,2010,false,false,Industrial Heating,D,100 Mbps,d3c31fcf-ecea-4fea-9f67-708d9aa9c96b,1f0c3e21-4ccf-4abd-b7da-468c41c4ac27,NEWLISTING
8e3430fb-4136-4745-a911-786e4b40119d,P0009,Renovated Historic Building,Charming apartment in restored historic building with modern amenities,Apartment,Sale,Living,Renovated,false,2024-04-01,3,110.00,sqm,0.00,0.00,EUR,true,false,0,false,2,4,1920,false,true,Gas Heating,C,100 Mbps,79a042b1-7ffa-48e1-96d8-c522a84e3a03,b5514a3a-c13c-47eb-8feb-92394453237f,UNDERCONTRACT
325e8541-aef7-4989-876d-fa74fdabd037,P0010,Garden Apartment Ground Floor,Beautiful ground floor apartment with private garden access ideal for pets,Apartment,Rent,Living,Very Good,true,2024-02-05,2,95.00,sqm,1400.00,1650.00,EUR,false,true,1,false,0,4,2017,false,true,Floor Heating,B,100 Mbps,a78a09db-caf6-4d08-b81a-f54616843910,437960bc-763b-4b09-9da3-6c0d927fe113,ACCEPTREQ
5e061f6e-7181-42a1-85d0-dd7f799549f9,P0011,Luxury Condo with Amenities,High-end condo with gym pool and concierge services in premium location,Apartment,Sale,Living,New,true,2024-03-20,3,140.00,sqm,0.00,0.00,EUR,true,false,2,true,8,12,2023,true,false,Central Heating,A,1000 Mbps,2a04e58a-f083-4f65-a494-d152e2287fcf,8127208c-6a06-40db-a75f-61b03ee948e1,ACCEPTREQ
687ccd13-c9d9-4224-8e56-4330b25f0ba9,P0012,Country House with Land,Spacious country house on large plot of land perfect for farming or horses,House,Sale,Living,Needs renovation,true,2024-04-15,6,300.00,sqm,0.00,0.00,EUR,false,true,4,true,0,2,1995,false,true,Oil Heating,E,20 Mbps,a5b41e06-370d-4854-894a-531825e4462a,c6182a88-934f-4b95-95e4-c7db73964ffc,NEWLISTING
172e742d-bec7-4b32-9a57-62dfc02a447f,P0013,Modern Loft in Arts District,Trendy loft apartment in vibrant arts district with high ceilings,Apartment,Rent,Living,Very Good,true,2024-02-20,2,100.00,sqm,1800.00,2100.00,EUR,false,false,1,false,4,5,2020,true,true,Electric Heating,B,200 Mbps,d3c31fcf-ecea-4fea-9f67-708d9aa9c96b,01e09aed-d5f1-4152-8bbc-6031bd3e9068,REVIEWREQ
72581ef1-5efd-4b6f-b013-70df9959d8cc,P0014,Retail Space High Traffic Area,Prime retail location in shopping district with high foot traffic,Apartment,Lease,Commercial,Very Good,true,2024-03-10,3,120.00,sqm,3500.00,4000.00,EUR,false,false,3,false,1,3,2018,false,false,Central Heating,B,200 Mbps,2a04e58a-f083-4f65-a494-d152e2287fcf,25dcd204-c1d3-4885-9065-3713e025f712,ACCEPTREQ
b5afff15-2a9c-49f7-abf7-81670cafbb42,P0015,Lake View Villa,Stunning villa with direct lake access and private dock,House,Sale,Living,New,true,2024-05-01,5,280.00,sqm,0.00,0.00,EUR,true,true,4,true,0,2,2024,false,true,Heat Pump,A,500 Mbps,79a042b1-7ffa-48e1-96d8-c522a84e3a03,03c38436-b79f-4141-ba00-c92af5548559,NEWLISTING
22ff160e-e526-45db-83fb-37a6b8026d0c,P0016,Student Housing Complex,Purpose-built student accommodation with all utilities included,Apartment,Rent,Living,Very Good,true,2024-02-25,1,40.00,sqm,700.00,850.00,EUR,false,false,0,false,1,8,2019,true,false,Central Heating,C,100 Mbps,7fdda6bd-b9b3-44d7-b12c-35a49ec57e7a,4a2b1ef7-23f8-4635-818b-74efc1e899e7,ACCEPTREQ
aa276660-ba24-4bde-a5e8-9b15f8819d0b,P0017,Executive Office Suite,Furnished executive office suite with meeting rooms and reception,Apartment,Lease,Commercial,New,true,2024-03-25,10,200.00,sqm,3000.00,3400.00,EUR,false,false,8,true,5,10,2022,true,false,Central Heating,A,1000 Mbps,d3c31fcf-ecea-4fea-9f67-708d9aa9c96b,3bc54e59-adaa-4db1-a1dd-a77146416e03,VIEWPLANN
3e4e5598-8881-4260-bc8d-4b41f72c20d8,P0018,Beachfront Condo,Luxury beachfront condominium with ocean views and private beach access,Apartment,Sale,Living,Very Good,true,2024-04-10,3,150.00,sqm,0.00,0.00,EUR,true,false,2,true,10,15,2021,true,false,Central Heating,A,500 Mbps,2a04e58a-f083-4f65-a494-d152e2287fcf,37d01292-a391-434c-abfc-fee1eaf5a839,ACCEPTREQ
d1bf43cd-7cf6-40ba-966a-2d9ca77b260a,P0019,Townhouse in Gated Community,Modern townhouse in secure gated community with pool and playground,House,Rent,Living,New,true,2024-03-05,3,160.00,sqm,2000.00,2300.00,EUR,true,true,2,true,0,3,2023,false,true,Gas Heating,A,200 Mbps,a78a09db-caf6-4d08-b81a-f54616843910,171c4735-ae99-47db-af8c-c0defea31a4b,ACCEPTREQ
d9f55196-0dfc-4b77-93e1-881eb2b9bab2,P0020,Downtown Restaurant Space,Prime restaurant space with existing kitchen equipment in busy area,Apartment,Lease,Commercial,Renovated,true,2024-04-20,4,180.00,sqm,4500.00,5000.00,EUR,false,false,2,false,1,2,2015,false,false,Gas Heating,C,100 Mbps,d3c31fcf-ecea-4fea-9f67-708d9aa9c96b,4ca2cf54-159d-4047-adb8-3d82d2c69077,REVIEWREQ
